,steps,rewards
0,0,91.3
1,1,45.300000000000004
2,2,32.4
3,3,26.05
4,4,24.0
5,5,20.599999999999998
6,6,17.849999999999998
7,7,17.299999999999997
8,8,15.4
9,9,13.4
10,10,13.200000000000001
11,11,12.950000000000001
12,12,11.95
13,13,11.450000000000001
14,14,10.299999999999999
15,15,10.85
16,16,10.35
17,17,9.8
18,18,10.100000000000001
19,19,9.5
20,20,10.299999999999999
21,21,9.1
22,22,8.85
23,23,9.1
24,24,9.15
25,25,8.7
26,26,9.1
27,27,8.200000000000001
28,28,8.0
29,29,8.15
30,30,8.1
31,31,8.200000000000001
32,32,7.8
33,33,7.75
34,34,8.450000000000001
35,35,7.449999999999999
36,36,7.7
37,37,8.3
38,38,7.85
39,39,8.25
40,40,8.0
41,41,8.05
42,42,7.3999999999999995
43,43,7.5
44,44,7.95
45,45,7.75
46,46,7.7
47,47,8.15
48,48,7.9
49,49,7.6499999999999995
50,50,7.449999999999999
51,51,7.1
52,52,7.7
53,53,7.6
54,54,7.35
55,55,7.5
56,56,7.3999999999999995
57,57,8.0
58,58,7.3999999999999995
59,59,7.6499999999999995
60,60,6.800000000000001
61,61,7.199999999999999
62,62,7.1
63,63,7.049999999999999
64,64,7.3999999999999995
65,65,7.6499999999999995
66,66,7.6499999999999995
67,67,7.8
68,68,7.55
69,69,7.95
70,70,7.35
71,71,8.1
72,72,7.75
73,73,7.95
74,74,7.35
75,75,7.55
76,76,7.199999999999999
77,77,8.05
78,78,7.7
79,79,7.85
80,80,7.6
81,81,7.75
82,82,7.95
83,83,8.15
84,84,8.25
85,85,7.8
86,86,7.85
87,87,7.6499999999999995
88,88,8.05
89,89,7.8
90,90,7.6
91,91,7.199999999999999
92,92,7.85
93,93,7.3999999999999995
94,94,7.6
95,95,8.200000000000001
96,96,7.6
97,97,7.95
98,98,7.449999999999999
99,99,7.3999999999999995
100,100,7.8
101,101,7.199999999999999
102,102,7.3999999999999995
103,103,7.5
104,104,7.5
105,105,8.0
106,106,7.3999999999999995
107,107,7.6
108,108,7.55
109,109,7.7
110,110,7.85
111,111,7.000000000000001
112,112,7.35
113,113,7.95
114,114,7.35
115,115,7.6499999999999995
116,116,7.3999999999999995
117,117,7.049999999999999
118,118,7.1
119,119,7.9
120,120,7.7
121,121,7.249999999999999
122,122,7.6
123,123,7.6499999999999995
124,124,7.75
125,125,7.7
126,126,7.3
127,127,7.449999999999999
128,128,7.449999999999999
129,129,7.249999999999999
130,130,7.6
131,131,7.75
132,132,7.6499999999999995
133,133,7.199999999999999
134,134,7.3999999999999995
135,135,7.449999999999999
136,136,7.55
137,137,7.55
138,138,7.1
139,139,7.6
140,140,7.199999999999999
141,141,7.449999999999999
142,142,7.95
143,143,8.0
144,144,7.3
145,145,7.249999999999999
146,146,7.55
147,147,8.05
148,148,7.049999999999999
149,149,8.0
150,150,7.3999999999999995
151,151,7.35
152,152,7.75
153,153,7.3999999999999995
154,154,7.3999999999999995
155,155,7.249999999999999
156,156,7.249999999999999
157,157,7.199999999999999
158,158,7.249999999999999
159,159,8.05
160,160,7.3
161,161,7.249999999999999
162,162,7.000000000000001
163,163,7.5
164,164,7.95
165,165,7.1499999999999995
166,166,7.5
167,167,7.249999999999999
168,168,7.199999999999999
169,169,7.249999999999999
170,170,7.5
171,171,6.950000000000001
172,172,7.199999999999999
173,173,7.85
174,174,7.75
175,175,7.7
176,176,7.1
177,177,7.5
178,178,7.35
179,179,7.3
180,180,8.15
181,181,7.55
182,182,7.55
183,183,7.3999999999999995
184,184,7.55
185,185,7.9
186,186,7.449999999999999
187,187,7.9
188,188,7.049999999999999
189,189,7.35
190,190,6.950000000000001
191,191,7.1
192,192,7.55
193,193,7.3999999999999995
194,194,7.8
195,195,7.6499999999999995
196,196,7.55
197,197,7.35
198,198,7.85
199,199,7.5
200,200,7.6
201,201,7.8
202,202,7.85
203,203,7.55
204,204,7.6499999999999995
205,205,7.6
206,206,7.249999999999999
207,207,7.5
208,208,7.9
209,209,7.7
210,210,7.7
211,211,7.000000000000001
212,212,7.449999999999999
213,213,8.05
214,214,6.8500000000000005
215,215,7.449999999999999
216,216,7.35
217,217,7.35
218,218,7.5
219,219,7.5
220,220,7.85
221,221,7.55
222,222,8.15
223,223,7.249999999999999
224,224,7.5
225,225,7.75
226,226,7.6499999999999995
227,227,7.449999999999999
228,228,7.249999999999999
229,229,7.7
230,230,7.35
231,231,7.55
232,232,7.55
233,233,7.55
234,234,7.6499999999999995
235,235,7.449999999999999
236,236,6.9
237,237,7.7
238,238,7.85
239,239,7.6
240,240,7.1499999999999995
241,241,7.199999999999999
242,242,6.65
243,243,7.75
244,244,7.000000000000001
245,245,7.5
246,246,8.05
247,247,7.6
248,248,7.1
249,249,7.1499999999999995
250,250,7.249999999999999
251,251,6.9
252,252,7.3
253,253,7.3
254,254,7.3999999999999995
255,255,7.3999999999999995
256,256,7.3
257,257,7.199999999999999
258,258,7.5
259,259,7.199999999999999
260,260,7.7
261,261,7.7
262,262,7.5
263,263,7.249999999999999
264,264,7.1
265,265,7.449999999999999
266,266,7.6
267,267,7.049999999999999
268,268,7.049999999999999
269,269,7.3
270,270,7.75
271,271,7.6
272,272,7.449999999999999
273,273,8.05
274,274,7.8
275,275,7.049999999999999
276,276,7.9
277,277,7.9
278,278,7.6499999999999995
279,279,7.5
280,280,7.049999999999999
281,281,7.9
282,282,7.6499999999999995
283,283,7.3999999999999995
284,284,7.3
285,285,7.3
286,286,7.3999999999999995
287,287,7.3
288,288,7.249999999999999
289,289,7.249999999999999
290,290,7.3999999999999995
291,291,7.55
292,292,7.199999999999999
293,293,7.9
294,294,7.1499999999999995
295,295,7.199999999999999
296,296,7.35
297,297,7.049999999999999
298,298,7.249999999999999
299,299,6.800000000000001
300,300,7.7
301,301,7.8
302,302,7.449999999999999
303,303,7.199999999999999
304,304,7.7
305,305,7.55
306,306,7.7
307,307,7.6499999999999995
308,308,7.7
309,309,7.7
310,310,7.3999999999999995
311,311,7.3999999999999995
312,312,7.85
313,313,7.6499999999999995
314,314,7.249999999999999
315,315,8.0
316,316,7.75
317,317,7.6
318,318,7.35
319,319,7.3
320,320,6.8500000000000005
321,321,7.1499999999999995
322,322,7.449999999999999
323,323,8.25
324,324,7.55
325,325,7.049999999999999
326,326,7.449999999999999
327,327,6.950000000000001
328,328,6.7
329,329,7.3
330,330,7.049999999999999
331,331,7.249999999999999
332,332,7.449999999999999
333,333,7.449999999999999
334,334,7.449999999999999
335,335,7.3999999999999995
336,336,7.5
337,337,7.049999999999999
338,338,7.55
339,339,7.1
340,340,7.35
341,341,7.6
342,342,7.35
343,343,7.449999999999999
344,344,7.55
345,345,7.3999999999999995
346,346,7.7
347,347,7.95
348,348,7.3
349,349,7.449999999999999
350,350,7.249999999999999
351,351,7.1
352,352,6.800000000000001
353,353,7.5
354,354,6.7
355,355,7.199999999999999
356,356,7.449999999999999
357,357,7.6
358,358,8.1
359,359,7.1
360,360,7.35
361,361,7.6499999999999995
362,362,7.1499999999999995
363,363,7.8
364,364,7.249999999999999
365,365,7.249999999999999
366,366,7.6
367,367,7.75
368,368,7.3
369,369,7.249999999999999
370,370,7.249999999999999
371,371,7.3999999999999995
372,372,7.249999999999999
373,373,7.000000000000001
374,374,7.55
375,375,8.15
376,376,7.35
377,377,7.449999999999999
378,378,7.8
379,379,7.249999999999999
380,380,7.049999999999999
381,381,7.049999999999999
382,382,7.3999999999999995
383,383,7.199999999999999
384,384,7.1499999999999995
385,385,7.449999999999999
386,386,7.449999999999999
387,387,7.6499999999999995
