,steps,rewards
0,0,90.0
1,1,46.0
2,2,41.75
3,3,40.45
4,4,39.25
5,5,39.0
6,6,38.05
7,7,38.95
8,8,37.8
9,9,36.95
10,10,37.6
11,11,38.4
12,12,39.0
13,13,38.15
14,14,38.7
15,15,38.550000000000004
16,16,38.45
17,17,37.7
18,18,38.15
19,19,38.5
20,20,37.65
21,21,38.0
22,22,37.75
23,23,38.550000000000004
24,24,37.85
25,25,37.6
26,26,39.15
27,27,38.1
28,28,38.6
29,29,38.05
30,30,38.7
31,31,37.7
32,32,38.6
33,33,38.25
34,34,38.3
35,35,37.7
36,36,37.9
37,37,37.85
38,38,38.05
39,39,38.7
40,40,38.6
41,41,38.1
42,42,37.9
43,43,38.5
44,44,38.550000000000004
45,45,38.3
46,46,38.4
47,47,37.6
48,48,37.95
49,49,37.85
50,50,37.9
51,51,38.15
52,52,37.8
53,53,38.45
54,54,37.7
55,55,38.550000000000004
56,56,37.55
57,57,37.6
58,58,38.15
59,59,38.35
60,60,38.1
61,61,38.3
62,62,38.05
63,63,37.9
64,64,38.15
65,65,38.0
66,66,37.65
67,67,38.45
68,68,38.1
69,69,37.1
70,70,38.1
71,71,37.85
72,72,38.1
73,73,38.0
74,74,38.05
75,75,38.5
76,76,38.4
77,77,38.5
78,78,38.35
79,79,38.15
80,80,38.550000000000004
81,81,38.35
82,82,38.2
83,83,38.05
84,84,37.85
85,85,38.95
86,86,37.95
87,87,38.0
88,88,38.05
89,89,38.25
90,90,38.3
91,91,38.0
92,92,38.15
93,93,37.85
94,94,37.7
95,95,38.0
96,96,38.05
97,97,38.25
98,98,38.6
99,99,38.3
100,100,38.15
101,101,38.05
102,102,38.2
103,103,37.8
104,104,38.6
105,105,37.9
106,106,37.85
107,107,38.35
108,108,38.5
109,109,37.2
110,110,38.45
111,111,37.7
112,112,37.95
113,113,38.7
114,114,37.85
115,115,39.1
116,116,38.550000000000004
117,117,37.8
118,118,38.550000000000004
119,119,37.65
120,120,38.9
121,121,38.05
122,122,38.6
123,123,38.35
124,124,38.65
125,125,38.5
126,126,38.2
127,127,37.95
128,128,38.35
129,129,37.85
130,130,37.55
131,131,38.2
132,132,37.8
133,133,38.6
134,134,37.9
135,135,37.7
136,136,38.6
137,137,39.35
138,138,39.1
139,139,37.8
140,140,38.35
141,141,38.15
142,142,37.95
143,143,38.35
144,144,37.4
145,145,38.05
146,146,38.6
147,147,38.2
148,148,38.25
149,149,38.15
150,150,38.5
151,151,38.7
152,152,38.2
153,153,38.15
154,154,36.65
155,155,37.7
156,156,38.4
157,157,38.6
158,158,38.6
159,159,38.5
160,160,38.15
161,161,38.550000000000004
162,162,38.0
163,163,38.9
164,164,37.5
165,165,38.1
166,166,37.75
167,167,39.6
168,168,38.05
169,169,37.95
170,170,38.45
171,171,37.9
172,172,38.7
173,173,37.5
174,174,38.5
175,175,37.6
176,176,37.9
177,177,37.7
178,178,38.25
179,179,38.05
180,180,37.45
181,181,38.05
182,182,38.35
183,183,38.1
184,184,37.8
185,185,38.45
186,186,38.25
187,187,38.45
188,188,36.9
189,189,38.0
190,190,38.25
