,steps,rewards
0,0,90.8
1,1,47.4
2,2,35.8
3,3,29.599999999999998
4,4,24.25
5,5,22.05
6,6,20.3
7,7,18.4
8,8,17.150000000000002
9,9,16.0
10,10,14.649999999999999
11,11,14.549999999999999
12,12,13.0
13,13,12.45
14,14,11.65
15,15,11.4
16,16,10.75
17,17,10.2
18,18,9.65
19,19,8.4
20,20,9.15
21,21,8.15
22,22,7.7
23,23,7.7
24,24,7.75
25,25,7.199999999999999
26,26,6.9
27,27,7.1499999999999995
28,28,6.9
29,29,7.1499999999999995
30,30,6.800000000000001
31,31,7.1
32,32,7.1499999999999995
33,33,7.1499999999999995
34,34,6.9
35,35,6.35
36,36,6.5
37,37,6.800000000000001
38,38,7.249999999999999
39,39,7.199999999999999
40,40,7.000000000000001
41,41,6.950000000000001
42,42,7.000000000000001
43,43,6.75
44,44,7.85
45,45,7.6
46,46,7.449999999999999
47,47,7.3
48,48,7.35
49,49,7.249999999999999
50,50,7.049999999999999
51,51,7.35
52,52,7.75
53,53,8.5
54,54,8.4
55,55,7.9
56,56,7.449999999999999
57,57,7.449999999999999
58,58,7.6499999999999995
59,59,7.8
60,60,7.049999999999999
61,61,7.049999999999999
62,62,7.5
63,63,8.05
64,64,7.95
65,65,7.95
66,66,8.1
67,67,8.450000000000001
68,68,8.15
69,69,7.6
70,70,7.95
71,71,8.7
72,72,8.35
73,73,8.05
74,74,8.6
75,75,8.7
76,76,8.4
77,77,9.0
78,78,8.4
79,79,8.55
80,80,8.450000000000001
81,81,8.6
82,82,8.35
83,83,8.25
84,84,8.450000000000001
85,85,8.799999999999999
86,86,8.799999999999999
87,87,8.7
88,88,9.35
89,89,9.1
90,90,9.1
91,91,9.0
92,92,9.2
93,93,8.35
94,94,8.5
95,95,8.75
96,96,8.649999999999999
97,97,8.649999999999999
98,98,8.649999999999999
99,99,8.200000000000001
100,100,9.049999999999999
101,101,8.55
102,102,8.4
103,103,8.5
104,104,8.35
105,105,8.75
106,106,8.05
107,107,8.25
108,108,8.55
109,109,8.5
110,110,8.55
111,111,8.75
112,112,8.7
113,113,8.4
114,114,8.3
115,115,8.7
116,116,7.9
117,117,8.450000000000001
118,118,8.55
119,119,8.5
120,120,8.5
121,121,8.799999999999999
122,122,9.5
123,123,8.9
124,124,8.799999999999999
125,125,8.05
126,126,8.15
127,127,8.799999999999999
128,128,9.45
129,129,8.25
130,130,8.1
131,131,8.4
132,132,8.35
133,133,8.799999999999999
134,134,8.85
135,135,8.799999999999999
136,136,8.25
137,137,8.85
138,138,8.4
139,139,9.15
140,140,9.0
141,141,9.75
142,142,9.3
143,143,9.1
144,144,9.15
145,145,8.85
146,146,9.5
147,147,9.049999999999999
148,148,9.55
149,149,8.95
150,150,8.95
151,151,8.7
152,152,9.0
153,153,9.25
154,154,9.15
155,155,9.15
156,156,8.25
157,157,9.0
158,158,9.0
159,159,8.3
160,160,8.75
161,161,8.3
162,162,9.4
163,163,8.6
164,164,8.6
165,165,9.1
166,166,9.0
167,167,8.95
168,168,8.7
169,169,8.5
170,170,9.2
171,171,9.35
172,172,9.0
173,173,9.5
174,174,10.85
175,175,10.25
176,176,9.45
177,177,8.450000000000001
178,178,8.649999999999999
179,179,9.3
180,180,9.4
181,181,9.0
182,182,9.45
183,183,9.950000000000001
184,184,9.3
185,185,10.0
186,186,9.950000000000001
187,187,9.55
188,188,9.700000000000001
189,189,9.55
190,190,10.5
191,191,9.8
192,192,9.950000000000001
193,193,9.3
194,194,9.8
195,195,10.15
196,196,9.700000000000001
197,197,10.85
198,198,10.299999999999999
199,199,10.05
200,200,10.25
201,201,10.35
202,202,10.299999999999999
203,203,10.549999999999999
204,204,10.6
205,205,9.25
206,206,9.65
207,207,9.3
208,208,9.3
209,209,9.65
210,210,10.0
211,211,9.3
212,212,10.15
213,213,9.3
214,214,9.15
215,215,9.55
216,216,9.25
217,217,9.75
218,218,9.6
219,219,10.0
220,220,9.1
221,221,9.8
222,222,9.85
223,223,9.5
224,224,9.700000000000001
225,225,9.049999999999999
226,226,9.55
227,227,9.45
228,228,10.05
229,229,9.950000000000001
230,230,9.9
231,231,9.25
232,232,8.85
233,233,9.950000000000001
234,234,9.1
235,235,9.25
236,236,9.15
237,237,9.5
238,238,9.55
239,239,8.95
240,240,8.6
241,241,8.25
242,242,8.15
243,243,8.7
244,244,9.0
245,245,8.35
246,246,8.450000000000001
247,247,8.55
248,248,8.85
249,249,7.9
250,250,8.1
251,251,8.799999999999999
252,252,8.75
253,253,8.85
254,254,9.1
255,255,9.25
256,256,8.9
257,257,9.2
258,258,9.1
259,259,9.3
260,260,8.85
261,261,8.25
262,262,7.75
263,263,7.6
264,264,8.55
265,265,8.200000000000001
266,266,8.25
267,267,8.35
268,268,8.15
269,269,8.649999999999999
270,270,9.3
271,271,8.85
272,272,9.35
273,273,9.0
274,274,9.9
275,275,10.25
276,276,9.3
277,277,9.25
278,278,9.6
279,279,8.7
280,280,9.35
281,281,9.15
282,282,9.0
283,283,9.45
284,284,9.45
285,285,8.55
286,286,8.55
287,287,9.45
288,288,9.15
289,289,8.450000000000001
290,290,9.5
291,291,9.1
292,292,9.3
293,293,9.049999999999999
294,294,8.799999999999999
295,295,9.049999999999999
296,296,9.3
297,297,10.4
298,298,9.1
299,299,9.15
300,300,9.15
301,301,9.4
302,302,9.15
303,303,8.95
304,304,9.25
305,305,9.65
306,306,8.7
307,307,9.3
308,308,8.799999999999999
309,309,8.7
310,310,8.799999999999999
311,311,8.0
312,312,8.35
313,313,8.799999999999999
314,314,8.4
315,315,8.3
316,316,9.0
317,317,8.75
318,318,8.799999999999999
319,319,8.6
320,320,8.450000000000001
321,321,8.3
322,322,8.450000000000001
323,323,8.25
324,324,8.799999999999999
325,325,8.35
326,326,8.7
327,327,8.55
328,328,9.5
329,329,9.2
330,330,9.2
331,331,8.7
332,332,8.85
333,333,9.2
334,334,8.7
335,335,8.6
336,336,9.15
337,337,8.799999999999999
338,338,8.799999999999999
339,339,8.55
340,340,9.1
341,341,8.3
342,342,8.7
343,343,8.7
344,344,8.9
345,345,8.35
346,346,8.4
347,347,8.9
348,348,8.9
349,349,8.9
350,350,8.3
351,351,9.2
352,352,9.25
353,353,9.5
354,354,9.25
355,355,9.3
356,356,9.55
357,357,9.6
358,358,9.15
359,359,9.049999999999999
360,360,9.15
361,361,9.35
362,362,9.1
363,363,9.35
364,364,9.049999999999999
365,365,8.0
366,366,9.1
367,367,9.6
368,368,9.45
369,369,9.4
370,370,9.55
371,371,9.0
372,372,9.700000000000001
373,373,9.45
374,374,9.55
375,375,9.75
376,376,9.3
377,377,9.049999999999999
378,378,9.55
379,379,9.45
380,380,8.85
381,381,9.45
382,382,9.25
383,383,10.05
384,384,9.6
385,385,10.05
386,386,9.65
387,387,9.15
388,388,9.4
389,389,9.45
390,390,9.9
391,391,10.25
392,392,9.65
393,393,10.35
394,394,10.15
395,395,9.950000000000001
396,396,9.55
397,397,9.700000000000001
398,398,9.8
399,399,10.45
400,400,10.05
401,401,10.5
402,402,10.299999999999999
403,403,10.4
404,404,9.950000000000001
405,405,10.45
406,406,10.65
407,407,10.0
408,408,10.15
409,409,9.6
410,410,10.0
411,411,9.6
412,412,9.4
413,413,9.6
414,414,9.75
415,415,9.1
416,416,9.5
417,417,9.9
418,418,10.25
419,419,9.8
420,420,9.75
421,421,10.05
422,422,10.05
423,423,9.700000000000001
424,424,10.0
425,425,10.05
426,426,10.299999999999999
427,427,10.299999999999999
428,428,10.299999999999999
429,429,9.700000000000001
430,430,10.15
431,431,10.2
432,432,9.950000000000001
433,433,10.299999999999999
434,434,10.05
435,435,10.35
436,436,10.35
437,437,10.45
438,438,10.8
439,439,9.950000000000001
440,440,10.35
441,441,10.45
442,442,10.15
443,443,10.5
444,444,10.6
445,445,10.299999999999999
446,446,10.6
447,447,9.9
448,448,10.100000000000001
449,449,10.5
450,450,10.6
451,451,9.75
452,452,10.4
453,453,10.549999999999999
454,454,10.6
455,455,11.15
456,456,10.5
457,457,9.950000000000001
458,458,10.35
459,459,10.299999999999999
460,460,10.7
461,461,10.5
462,462,10.100000000000001
463,463,9.950000000000001
464,464,10.05
465,465,11.0
466,466,10.35
467,467,10.45
468,468,10.35
469,469,10.7
470,470,9.6
471,471,10.0
472,472,9.8
473,473,10.8
474,474,11.15
475,475,9.700000000000001
476,476,10.6
477,477,10.15
478,478,10.100000000000001
479,479,10.5
480,480,10.7
481,481,10.100000000000001
482,482,9.950000000000001
483,483,10.299999999999999
484,484,9.9
485,485,11.0
486,486,10.85
487,487,10.05
488,488,10.9
489,489,10.549999999999999
490,490,10.05
491,491,9.15
492,492,10.35
493,493,10.100000000000001
494,494,10.05
495,495,10.05
496,496,10.4
497,497,10.100000000000001
498,498,10.2
499,499,11.200000000000001
500,500,10.100000000000001
501,501,10.0
502,502,10.6
503,503,10.0
504,504,10.65
505,505,10.2
506,506,10.45
507,507,10.35
508,508,10.6
509,509,10.299999999999999
510,510,10.25
511,511,10.5
512,512,10.8
513,513,10.05
514,514,10.4
515,515,10.45
516,516,11.1
517,517,10.85
518,518,11.15
519,519,11.25
520,520,10.65
521,521,10.25
522,522,9.8
523,523,9.6
524,524,9.9
525,525,10.75
526,526,10.549999999999999
527,527,10.299999999999999
528,528,10.5
529,529,9.45
530,530,9.6
531,531,9.950000000000001
532,532,10.15
533,533,9.700000000000001
534,534,9.950000000000001
535,535,9.65
536,536,9.75
537,537,9.75
538,538,9.85
539,539,8.95
540,540,9.55
541,541,9.45
542,542,9.4
543,543,9.6
544,544,9.35
545,545,9.2
546,546,10.15
547,547,9.5
548,548,9.700000000000001
549,549,10.25
550,550,10.25
551,551,10.0
552,552,10.2
553,553,9.3
554,554,9.75
555,555,10.100000000000001
556,556,10.100000000000001
557,557,10.15
558,558,9.6
559,559,9.75
560,560,9.8
561,561,9.700000000000001
562,562,10.5
563,563,9.9
564,564,10.2
565,565,10.45
566,566,9.700000000000001
567,567,10.05
568,568,9.65
569,569,10.4
570,570,10.25
571,571,10.299999999999999
572,572,9.950000000000001
573,573,9.700000000000001
574,574,9.35
575,575,10.4
576,576,10.299999999999999
577,577,9.9
578,578,10.25
579,579,9.8
580,580,9.75
581,581,9.950000000000001
582,582,9.85
583,583,10.15
584,584,10.0
585,585,9.700000000000001
586,586,10.2
587,587,9.55
588,588,10.25
589,589,9.8
590,590,9.65
591,591,10.0
592,592,10.05
593,593,9.55
594,594,9.45
595,595,10.299999999999999
596,596,10.100000000000001
597,597,9.75
598,598,10.65
599,599,10.95
600,600,9.75
601,601,10.35
602,602,10.5
603,603,10.75
604,604,10.0
605,605,10.100000000000001
606,606,10.35
607,607,10.2
608,608,9.65
609,609,10.05
610,610,9.9
611,611,10.25
612,612,10.6
613,613,10.85
614,614,10.7
615,615,10.100000000000001
616,616,10.549999999999999
617,617,10.75
618,618,10.7
619,619,10.35
620,620,10.100000000000001
621,621,10.35
622,622,10.85
623,623,10.5
624,624,11.5
625,625,11.200000000000001
626,626,10.9
627,627,10.7
628,628,11.200000000000001
629,629,10.4
630,630,10.85
631,631,10.549999999999999
632,632,10.15
633,633,9.8
634,634,10.100000000000001
635,635,10.65
636,636,10.5
637,637,9.8
638,638,10.4
639,639,11.1
640,640,10.75
641,641,10.45
642,642,10.549999999999999
643,643,10.549999999999999
644,644,10.7
645,645,10.85
646,646,10.45
647,647,10.2
648,648,10.15
649,649,10.15
650,650,10.0
651,651,10.45
652,652,10.2
653,653,9.85
654,654,10.45
655,655,10.549999999999999
656,656,10.65
657,657,10.6
658,658,10.45
659,659,9.5
660,660,10.35
661,661,10.0
662,662,10.35
663,663,10.45
664,664,9.950000000000001
665,665,10.15
666,666,10.299999999999999
667,667,10.2
668,668,9.45
669,669,9.4
670,670,9.950000000000001
671,671,9.75
672,672,10.100000000000001
673,673,10.45
674,674,9.75
675,675,9.65
676,676,9.3
677,677,10.15
678,678,10.100000000000001
679,679,10.05
680,680,10.25
681,681,9.75
682,682,9.8
683,683,10.0
684,684,10.0
685,685,10.100000000000001
686,686,10.05
687,687,9.85
688,688,9.75
689,689,10.35
690,690,10.2
691,691,10.299999999999999
692,692,9.8
693,693,9.4
694,694,9.65
695,695,9.700000000000001
696,696,10.45
697,697,10.5
698,698,9.8
699,699,10.299999999999999
700,700,9.9
701,701,10.25
702,702,9.950000000000001
703,703,10.6
704,704,10.0
705,705,10.2
706,706,10.75
707,707,10.299999999999999
708,708,9.9
709,709,10.35
710,710,10.25
711,711,10.549999999999999
712,712,10.5
713,713,9.950000000000001
714,714,10.299999999999999
715,715,10.35
716,716,10.25
717,717,9.45
718,718,9.950000000000001
719,719,9.75
720,720,10.2
721,721,10.9
722,722,10.0
723,723,10.45
724,724,10.549999999999999
725,725,10.45
726,726,9.6
727,727,9.25
728,728,10.0
729,729,9.3
730,730,10.15
731,731,9.950000000000001
732,732,10.5
733,733,9.4
734,734,9.950000000000001
735,735,10.05
736,736,9.2
737,737,9.35
738,738,9.3
739,739,9.5
740,740,9.700000000000001
741,741,9.700000000000001
742,742,9.6
743,743,9.700000000000001
744,744,9.75
745,745,9.950000000000001
746,746,9.2
747,747,9.65
748,748,9.8
749,749,9.2
750,750,9.85
751,751,9.25
752,752,9.3
753,753,8.7
754,754,9.2
755,755,9.6
756,756,9.700000000000001
757,757,9.700000000000001
758,758,10.100000000000001
759,759,8.95
760,760,8.799999999999999
761,761,9.5
762,762,8.75
763,763,8.9
764,764,9.2
765,765,9.4
766,766,9.35
767,767,9.0
768,768,9.049999999999999
769,769,9.0
770,770,9.2
771,771,9.9
772,772,9.15
773,773,9.700000000000001
774,774,9.15
775,775,9.45
776,776,9.3
777,777,9.55
778,778,9.8
779,779,9.75
780,780,10.0
781,781,9.75
782,782,9.65
783,783,9.8
784,784,9.75
785,785,10.2
786,786,9.55
787,787,10.2
788,788,10.05
789,789,10.15
790,790,9.65
791,791,9.55
792,792,9.55
793,793,9.6
794,794,9.5
795,795,9.950000000000001
796,796,9.9
797,797,9.85
798,798,9.5
799,799,9.75
800,800,9.25
801,801,9.45
802,802,9.45
803,803,9.65
804,804,9.6
805,805,9.6
806,806,9.6
807,807,9.65
808,808,9.9
809,809,9.1
810,810,8.9
811,811,9.55
812,812,9.3
813,813,9.3
814,814,9.25
815,815,9.35
816,816,9.65
817,817,9.5
818,818,9.0
819,819,9.5
820,820,10.100000000000001
821,821,10.2
822,822,9.75
823,823,10.299999999999999
824,824,10.35
825,825,9.55
826,826,9.700000000000001
827,827,10.5
828,828,10.05
829,829,10.549999999999999
830,830,10.0
831,831,9.6
832,832,10.05
833,833,9.700000000000001
834,834,10.15
835,835,9.6
836,836,9.75
837,837,10.05
838,838,9.25
839,839,9.9
840,840,10.25
841,841,10.25
842,842,10.25
843,843,9.9
844,844,10.65
845,845,10.299999999999999
846,846,10.6
847,847,9.6
848,848,9.950000000000001
849,849,9.5
850,850,9.9
851,851,10.15
852,852,9.9
853,853,10.0
854,854,9.950000000000001
855,855,9.3
856,856,9.950000000000001
857,857,10.15
858,858,9.950000000000001
859,859,9.75
860,860,9.950000000000001
861,861,9.950000000000001
862,862,9.55
863,863,9.4
864,864,9.950000000000001
865,865,10.05
866,866,9.45
867,867,10.0
868,868,9.6
869,869,9.950000000000001
870,870,9.8
871,871,9.5
872,872,9.5
873,873,8.75
874,874,9.65
875,875,9.55
876,876,9.65
877,877,9.9
878,878,8.85
879,879,9.25
880,880,9.65
881,881,9.4
882,882,9.700000000000001
883,883,9.950000000000001
884,884,10.0
885,885,9.6
886,886,9.55
887,887,9.85
888,888,10.5
889,889,9.75
890,890,10.100000000000001
891,891,9.75
892,892,10.2
893,893,9.950000000000001
894,894,10.05
895,895,10.549999999999999
896,896,9.9
897,897,10.549999999999999
898,898,10.65
899,899,10.15
900,900,10.5
901,901,10.65
902,902,10.0
903,903,10.35
904,904,10.549999999999999
905,905,10.6
906,906,9.85
907,907,10.15
908,908,10.35
909,909,10.25
910,910,10.100000000000001
911,911,10.35
912,912,10.65
913,913,10.5
914,914,10.45
915,915,10.45
916,916,10.299999999999999
917,917,10.15
918,918,10.299999999999999
919,919,10.100000000000001
920,920,10.549999999999999
921,921,10.2
922,922,10.0
923,923,10.8
924,924,10.25
925,925,9.9
926,926,9.75
927,927,10.45
928,928,10.6
929,929,10.45
930,930,9.950000000000001
931,931,9.65
932,932,10.25
933,933,9.9
934,934,10.5
935,935,10.0
936,936,10.299999999999999
937,937,10.05
938,938,10.05
939,939,10.5
940,940,9.700000000000001
941,941,9.950000000000001
942,942,9.8
943,943,9.85
944,944,10.0
945,945,10.0
946,946,10.15
947,947,10.75
948,948,10.100000000000001
949,949,9.85
950,950,10.2
951,951,10.100000000000001
952,952,9.85
953,953,9.700000000000001
954,954,9.2
955,955,10.05
956,956,9.5
957,957,9.3
958,958,9.950000000000001
959,959,9.5
960,960,9.75
961,961,9.700000000000001
962,962,10.100000000000001
963,963,10.25
964,964,9.75
965,965,9.950000000000001
966,966,10.4
967,967,9.700000000000001
968,968,9.85
969,969,9.6
970,970,9.55
971,971,10.0
972,972,9.55
973,973,10.05
974,974,9.9
975,975,10.35
976,976,10.35
977,977,10.2
978,978,10.6
979,979,10.100000000000001
980,980,9.700000000000001
981,981,9.85
982,982,10.299999999999999
983,983,10.05
984,984,10.549999999999999
985,985,10.75
986,986,9.9
987,987,10.35
988,988,10.4
989,989,10.7
990,990,10.4
991,991,10.8
992,992,10.549999999999999
993,993,10.4
994,994,10.100000000000001
995,995,10.7
996,996,10.2
997,997,10.15
998,998,10.35
999,999,10.549999999999999
