,steps,rewards
0,0,90.2
1,1,47.199999999999996
2,2,36.0
3,3,30.3
4,4,25.5
5,5,22.900000000000002
6,6,21.0
7,7,19.05
8,8,18.85
9,9,17.65
10,10,16.400000000000002
11,11,16.75
12,12,15.45
13,13,15.15
14,14,14.799999999999999
15,15,13.900000000000002
16,16,13.350000000000001
17,17,12.9
18,18,13.05
19,19,12.85
20,20,12.3
21,21,12.5
22,22,12.8
23,23,12.049999999999999
24,24,11.85
25,25,11.899999999999999
26,26,12.2
27,27,12.1
28,28,11.1
29,29,11.55
30,30,10.95
31,31,11.0
32,32,10.95
33,33,11.600000000000001
34,34,11.3
35,35,11.35
36,36,10.0
37,37,10.85
38,38,9.75
39,39,10.05
40,40,9.85
41,41,9.75
42,42,9.6
43,43,9.950000000000001
44,44,10.05
45,45,9.950000000000001
46,46,9.35
47,47,9.45
48,48,9.75
49,49,9.3
50,50,9.3
51,51,8.9
52,52,9.4
53,53,9.2
54,54,8.95
55,55,9.3
56,56,9.1
57,57,8.55
58,58,9.0
59,59,8.3
60,60,8.95
61,61,8.25
62,62,8.55
63,63,8.5
64,64,8.55
65,65,8.4
66,66,8.0
67,67,8.799999999999999
68,68,8.0
69,69,8.15
70,70,7.5
71,71,8.05
72,72,7.6
73,73,7.95
74,74,7.5
75,75,7.75
76,76,7.049999999999999
77,77,6.9
78,78,7.199999999999999
79,79,6.8500000000000005
80,80,6.550000000000001
81,81,7.1499999999999995
82,82,7.049999999999999
83,83,6.800000000000001
84,84,7.249999999999999
85,85,6.800000000000001
86,86,6.950000000000001
87,87,6.950000000000001
88,88,6.35
89,89,6.3
90,90,6.35
91,91,6.75
92,92,5.8999999999999995
93,93,6.4
94,94,6.25
95,95,5.6000000000000005
96,96,5.3
97,97,6.0
98,98,6.05
99,99,5.8500000000000005
100,100,5.6000000000000005
101,101,5.5
102,102,5.800000000000001
103,103,5.3
104,104,5.1499999999999995
105,105,5.4
106,106,5.4
107,107,4.9
108,108,5.5
109,109,5.4
110,110,4.7
111,111,4.7
112,112,5.0
113,113,5.1
114,114,5.25
115,115,4.65
116,116,4.75
117,117,4.7
118,118,4.95
119,119,4.7
120,120,5.2
121,121,4.7
122,122,4.75
123,123,4.8
124,124,4.95
125,125,5.1499999999999995
126,126,5.25
127,127,5.0
128,128,4.9
129,129,5.0
130,130,4.65
131,131,5.1499999999999995
132,132,4.3999999999999995
133,133,4.8
134,134,4.7
135,135,4.6
136,136,5.25
137,137,4.95
138,138,5.0
139,139,4.9
140,140,4.8
141,141,4.9
142,142,4.95
143,143,5.0
144,144,4.65
145,145,4.75
146,146,4.8
147,147,5.3
148,148,5.1
149,149,4.8500000000000005
150,150,4.6
151,151,4.65
152,152,5.0
153,153,4.8
154,154,4.5
155,155,4.35
156,156,4.5
157,157,4.7
158,158,4.35
159,159,4.7
160,160,4.6
161,161,4.5
162,162,4.3
163,163,4.35
164,164,4.65
165,165,4.25
166,166,4.5
167,167,4.8
168,168,4.25
169,169,4.45
170,170,4.05
171,171,3.95
172,172,4.0
173,173,4.5
174,174,4.15
175,175,4.6
176,176,4.35
177,177,4.3999999999999995
178,178,4.1000000000000005
179,179,4.25
180,180,4.15
181,181,4.1000000000000005
182,182,4.15
183,183,4.05
184,184,4.3
185,185,3.75
186,186,3.85
187,187,4.0
188,188,3.75
189,189,3.85
190,190,4.25
191,191,4.05
192,192,3.95
193,193,4.05
194,194,3.85
195,195,4.3999999999999995
196,196,4.45
197,197,4.3
198,198,4.1000000000000005
199,199,3.9
200,200,3.95
201,201,4.3
202,202,4.25
203,203,3.15
204,204,3.5999999999999996
205,205,3.8
206,206,3.55
207,207,3.8
208,208,3.85
209,209,3.8
210,210,3.5000000000000004
211,211,4.0
212,212,3.45
213,213,4.0
214,214,3.75
215,215,3.6999999999999997
216,216,3.75
217,217,3.8
218,218,3.8
219,219,3.55
220,220,3.25
221,221,3.8
222,222,3.45
223,223,3.35
224,224,3.5000000000000004
225,225,3.9
226,226,3.25
227,227,3.5000000000000004
228,228,3.6999999999999997
229,229,3.55
230,230,3.95
231,231,3.85
232,232,3.8
233,233,3.85
234,234,3.5000000000000004
235,235,3.35
236,236,3.35
237,237,3.65
238,238,3.75
239,239,3.55
240,240,3.9
241,241,3.4000000000000004
242,242,3.5999999999999996
243,243,4.1000000000000005
244,244,3.95
245,245,3.55
246,246,3.65
247,247,3.45
248,248,3.6999999999999997
249,249,3.55
250,250,3.8
251,251,3.4000000000000004
252,252,3.75
253,253,4.05
254,254,3.75
255,255,3.65
256,256,3.5999999999999996
257,257,3.75
258,258,3.5999999999999996
259,259,3.5999999999999996
260,260,3.3000000000000003
261,261,3.55
262,262,3.5999999999999996
263,263,2.9499999999999997
264,264,3.4000000000000004
265,265,3.85
266,266,3.55
267,267,3.4000000000000004
268,268,3.55
269,269,3.55
270,270,3.85
271,271,3.65
272,272,3.65
273,273,3.8
274,274,3.5000000000000004
275,275,3.05
276,276,3.2
277,277,3.55
278,278,3.35
279,279,3.9
280,280,3.15
281,281,3.05
282,282,3.55
283,283,3.1
284,284,3.45
285,285,3.65
286,286,3.5000000000000004
287,287,3.55
288,288,3.8
289,289,3.45
290,290,2.9000000000000004
291,291,3.8
292,292,3.15
293,293,2.9499999999999997
294,294,2.75
295,295,3.45
296,296,3.5999999999999996
297,297,3.5999999999999996
298,298,3.85
299,299,2.9000000000000004
300,300,3.55
301,301,3.35
302,302,3.3000000000000003
303,303,3.4000000000000004
304,304,3.35
305,305,3.1
306,306,3.3000000000000003
307,307,3.05
308,308,3.3000000000000003
309,309,3.15
310,310,3.4000000000000004
311,311,3.15
312,312,3.5000000000000004
313,313,3.8
314,314,3.5999999999999996
315,315,3.75
316,316,3.25
317,317,3.45
318,318,3.15
319,319,3.4000000000000004
320,320,3.4000000000000004
321,321,3.15
322,322,3.15
323,323,3.8
324,324,2.8000000000000003
325,325,3.45
326,326,2.9499999999999997
327,327,3.0
328,328,3.1
329,329,3.35
330,330,3.55
331,331,3.55
332,332,3.2
333,333,3.65
334,334,3.15
335,335,3.0
336,336,2.85
337,337,3.05
338,338,3.4000000000000004
339,339,3.55
340,340,2.85
341,341,2.9000000000000004
342,342,2.85
343,343,3.35
344,344,3.1
345,345,3.25
346,346,3.15
347,347,3.2
348,348,3.15
349,349,3.05
350,350,3.05
351,351,3.2
352,352,3.15
353,353,2.8000000000000003
354,354,2.9499999999999997
355,355,2.6
356,356,3.35
357,357,3.35
358,358,3.05
359,359,3.0
360,360,2.9000000000000004
361,361,3.45
362,362,2.85
363,363,3.25
364,364,3.1
365,365,3.05
366,366,3.0
367,367,3.15
368,368,2.5
369,369,3.2
370,370,3.85
371,371,2.85
372,372,3.1
373,373,3.05
374,374,3.25
375,375,3.3000000000000003
376,376,3.65
377,377,3.35
378,378,3.15
379,379,3.25
380,380,3.55
381,381,2.7
382,382,3.4000000000000004
383,383,3.35
384,384,3.0
385,385,3.15
386,386,3.3000000000000003
387,387,3.4000000000000004
388,388,3.4000000000000004
389,389,3.2
390,390,3.35
391,391,2.9000000000000004
392,392,3.35
393,393,3.25
394,394,3.5000000000000004
395,395,3.0
396,396,3.05
397,397,3.55
398,398,3.4000000000000004
399,399,3.1
400,400,2.8000000000000003
401,401,3.55
402,402,3.45
403,403,3.15
404,404,3.5000000000000004
405,405,3.4000000000000004
406,406,3.05
407,407,3.1
408,408,3.15
409,409,3.3000000000000003
410,410,3.3000000000000003
411,411,3.4000000000000004
412,412,3.05
413,413,3.1
414,414,3.2
415,415,3.55
416,416,3.75
417,417,3.5999999999999996
418,418,3.65
419,419,3.15
420,420,3.5999999999999996
421,421,3.45
422,422,3.8
423,423,3.5000000000000004
424,424,3.35
425,425,3.35
426,426,3.25
427,427,3.25
428,428,3.35
429,429,3.35
430,430,3.5999999999999996
431,431,3.85
432,432,3.3000000000000003
433,433,3.45
434,434,3.5000000000000004
435,435,3.4000000000000004
436,436,3.5999999999999996
437,437,3.45
438,438,3.25
439,439,3.35
440,440,3.35
441,441,3.25
442,442,3.65
443,443,3.55
444,444,3.05
445,445,3.3000000000000003
446,446,3.35
447,447,3.15
448,448,3.25
449,449,3.5000000000000004
450,450,3.5999999999999996
451,451,3.5000000000000004
452,452,3.25
453,453,3.5000000000000004
454,454,3.45
455,455,3.2
456,456,2.8000000000000003
457,457,3.45
458,458,3.4000000000000004
459,459,3.6999999999999997
460,460,4.05
461,461,3.55
462,462,3.65
463,463,3.1
464,464,3.2
465,465,3.45
466,466,3.35
467,467,3.8
468,468,3.5000000000000004
469,469,3.2
470,470,3.8
471,471,3.45
472,472,3.9
473,473,3.35
474,474,3.45
475,475,3.4000000000000004
476,476,3.6999999999999997
477,477,3.65
478,478,3.25
479,479,4.0
480,480,3.6999999999999997
481,481,3.65
482,482,3.2
483,483,3.3000000000000003
484,484,3.75
485,485,3.15
486,486,3.3000000000000003
487,487,3.35
488,488,3.5999999999999996
489,489,3.75
490,490,3.5999999999999996
491,491,3.6999999999999997
492,492,3.75
493,493,3.25
494,494,3.25
495,495,3.5999999999999996
496,496,3.15
497,497,3.8
498,498,3.5000000000000004
499,499,3.15
500,500,3.3000000000000003
501,501,3.9
502,502,3.5999999999999996
503,503,3.55
504,504,3.85
505,505,3.35
506,506,3.65
507,507,3.25
508,508,3.4000000000000004
509,509,3.3000000000000003
510,510,3.8
511,511,3.5999999999999996
512,512,3.35
513,513,3.15
514,514,3.55
515,515,3.55
516,516,3.85
517,517,3.75
518,518,3.65
519,519,3.65
520,520,3.5000000000000004
521,521,3.5000000000000004
522,522,3.5999999999999996
523,523,3.95
524,524,4.0
525,525,3.9
526,526,3.75
527,527,4.0
528,528,3.85
529,529,3.8
530,530,3.85
531,531,3.6999999999999997
532,532,4.1000000000000005
533,533,3.95
534,534,4.05
535,535,3.45
536,536,3.6999999999999997
537,537,3.75
538,538,4.5
539,539,3.45
540,540,4.3
541,541,3.85
542,542,3.75
543,543,4.3
544,544,3.85
545,545,4.25
546,546,3.85
547,547,3.85
548,548,3.9
549,549,4.35
550,550,3.95
551,551,3.95
552,552,3.65
553,553,3.75
554,554,3.75
555,555,3.55
556,556,4.1000000000000005
557,557,3.75
558,558,4.0
559,559,4.15
560,560,3.8
561,561,4.05
562,562,4.3
563,563,4.0
564,564,4.1000000000000005
565,565,4.3
566,566,3.85
567,567,4.35
568,568,3.6999999999999997
569,569,4.05
570,570,4.25
571,571,4.2
572,572,3.95
573,573,4.15
574,574,4.15
575,575,3.9
576,576,4.2
577,577,4.1000000000000005
578,578,4.35
579,579,4.05
580,580,4.25
581,581,4.0
582,582,3.5999999999999996
583,583,4.25
584,584,3.75
585,585,4.45
586,586,4.1000000000000005
587,587,3.95
588,588,4.05
589,589,3.75
590,590,3.85
591,591,4.0
592,592,4.3
593,593,4.35
594,594,4.0
595,595,4.6
596,596,3.65
597,597,3.95
598,598,3.8
599,599,4.1000000000000005
600,600,4.0
601,601,4.05
602,602,3.9
603,603,4.15
604,604,4.05
605,605,4.45
606,606,4.25
607,607,3.8
608,608,4.05
609,609,4.0
610,610,4.1000000000000005
611,611,3.75
612,612,4.05
613,613,4.6
614,614,4.6
615,615,4.05
616,616,4.1000000000000005
617,617,4.25
618,618,4.3999999999999995
619,619,4.15
620,620,4.35
621,621,3.85
622,622,4.3
623,623,3.9
624,624,4.05
625,625,4.35
626,626,4.15
627,627,3.5999999999999996
628,628,4.05
629,629,4.3
630,630,4.1000000000000005
631,631,3.9
632,632,4.3999999999999995
633,633,4.25
634,634,4.35
635,635,4.45
636,636,4.3
637,637,4.3
638,638,4.1000000000000005
639,639,4.25
640,640,4.35
641,641,4.65
642,642,4.3999999999999995
643,643,4.45
644,644,4.0
645,645,3.55
646,646,3.85
647,647,3.65
648,648,4.3
649,649,4.3999999999999995
650,650,4.6
651,651,4.0
652,652,4.05
653,653,4.1000000000000005
654,654,3.8
655,655,4.3999999999999995
656,656,3.85
657,657,4.0
658,658,4.3999999999999995
659,659,4.05
660,660,3.75
661,661,4.2
662,662,4.2
663,663,3.8
664,664,4.2
665,665,3.55
666,666,3.95
667,667,3.95
668,668,4.8
669,669,4.05
670,670,4.3999999999999995
671,671,3.9
672,672,3.9
673,673,4.1000000000000005
674,674,4.1000000000000005
675,675,4.2
676,676,3.85
677,677,4.55
678,678,4.1000000000000005
679,679,4.0
680,680,4.3
681,681,4.05
682,682,3.95
683,683,4.1000000000000005
684,684,4.0
685,685,4.0
686,686,4.2
687,687,4.15
688,688,3.95
689,689,4.15
690,690,4.05
691,691,3.85
692,692,4.3999999999999995
693,693,4.15
694,694,4.25
695,695,3.95
696,696,4.35
697,697,4.55
698,698,3.95
699,699,4.1000000000000005
700,700,3.65
701,701,4.0
702,702,4.25
703,703,4.25
704,704,3.8
705,705,4.15
706,706,4.3
707,707,4.0
708,708,3.95
709,709,3.95
710,710,4.0
711,711,4.2
712,712,4.25
713,713,4.3
714,714,3.8
715,715,4.6
716,716,3.95
717,717,4.3
718,718,4.25
719,719,4.0
720,720,4.2
721,721,4.75
722,722,4.6
723,723,4.15
724,724,4.6
725,725,4.3
726,726,4.1000000000000005
727,727,4.3
728,728,4.2
729,729,4.25
730,730,4.3999999999999995
731,731,4.55
732,732,4.25
733,733,4.3
734,734,4.65
735,735,4.05
736,736,4.65
737,737,4.55
738,738,4.9
739,739,4.1000000000000005
740,740,4.65
741,741,4.65
742,742,4.55
743,743,4.25
744,744,4.1000000000000005
745,745,4.6
746,746,4.2
747,747,4.6
748,748,4.65
749,749,4.05
750,750,4.05
751,751,4.1000000000000005
752,752,4.2
753,753,4.3
754,754,4.1000000000000005
755,755,4.95
756,756,4.45
757,757,4.05
758,758,4.65
759,759,3.9
760,760,4.5
761,761,4.1000000000000005
762,762,3.9
763,763,3.95
764,764,4.3
765,765,4.5
766,766,3.85
767,767,4.15
768,768,4.3999999999999995
769,769,4.25
770,770,4.3
771,771,4.35
772,772,4.2
773,773,4.2
774,774,4.55
775,775,4.75
776,776,4.55
777,777,4.55
778,778,4.75
779,779,4.3999999999999995
780,780,4.55
781,781,4.3
782,782,4.15
783,783,4.3999999999999995
784,784,4.35
785,785,4.35
786,786,4.2
787,787,4.7
788,788,4.25
789,789,4.15
790,790,4.05
791,791,4.5
792,792,4.35
793,793,4.45
794,794,4.6
795,795,4.3999999999999995
796,796,4.55
797,797,4.6
798,798,4.45
799,799,4.45
800,800,4.1000000000000005
801,801,4.65
802,802,4.25
803,803,4.3
804,804,4.75
805,805,4.25
806,806,4.1000000000000005
807,807,4.15
808,808,4.25
809,809,4.5
810,810,4.05
811,811,3.8
812,812,4.5
813,813,4.6
814,814,4.55
815,815,4.45
816,816,4.8500000000000005
817,817,4.45
818,818,4.35
819,819,4.6
820,820,4.45
821,821,4.3999999999999995
822,822,4.3
823,823,4.35
824,824,4.7
825,825,4.9
826,826,4.35
827,827,4.25
828,828,4.9
829,829,4.7
830,830,4.6
831,831,5.050000000000001
832,832,5.1
833,833,4.5
834,834,4.65
835,835,4.6
836,836,4.75
837,837,4.5
838,838,4.7
839,839,4.35
840,840,4.55
841,841,4.55
842,842,4.45
843,843,4.6
844,844,4.6
845,845,4.6
846,846,4.7
847,847,5.0
848,848,4.35
849,849,5.1
850,850,4.95
851,851,5.1
852,852,4.75
853,853,5.1
854,854,4.25
855,855,4.7
856,856,4.75
857,857,4.5
858,858,4.3
859,859,4.6
860,860,4.55
861,861,5.050000000000001
862,862,4.45
863,863,4.7
864,864,4.55
865,865,5.0
866,866,4.9
867,867,4.95
868,868,4.9
869,869,4.6
870,870,4.8
871,871,5.45
872,872,4.55
873,873,5.1499999999999995
874,874,4.3999999999999995
875,875,4.45
876,876,4.7
877,877,4.55
878,878,4.7
879,879,4.3
880,880,4.35
881,881,4.3999999999999995
882,882,4.3999999999999995
883,883,5.4
884,884,4.7
885,885,4.6
886,886,5.1
887,887,4.65
888,888,5.0
889,889,4.6
890,890,4.95
891,891,4.45
892,892,4.45
893,893,4.75
894,894,4.7
895,895,5.1499999999999995
896,896,4.2
897,897,4.8
898,898,5.7
899,899,4.95
900,900,4.5
901,901,4.75
902,902,5.3
903,903,5.1
904,904,4.9
905,905,5.0
906,906,5.25
907,907,4.7
908,908,4.55
909,909,4.65
910,910,4.8500000000000005
911,911,4.8500000000000005
912,912,5.0
913,913,5.2
914,914,4.8500000000000005
915,915,4.2
916,916,5.050000000000001
