,steps,rewards
0,0,90.25
1,1,44.95
2,2,35.3
3,3,30.45
4,4,26.75
5,5,24.75
6,6,21.85
7,7,20.7
8,8,19.75
9,9,17.9
10,10,17.75
11,11,16.6
12,12,15.950000000000001
13,13,14.45
14,14,13.950000000000001
15,15,14.2
16,16,13.700000000000001
17,17,13.25
18,18,13.350000000000001
19,19,13.15
20,20,12.7
21,21,13.15
22,22,12.65
23,23,12.7
24,24,12.65
25,25,11.600000000000001
26,26,12.25
27,27,12.35
28,28,12.3
29,29,11.75
30,30,11.05
31,31,11.65
32,32,11.05
33,33,11.0
34,34,10.5
35,35,9.950000000000001
36,36,10.100000000000001
37,37,10.5
38,38,10.65
39,39,9.55
40,40,10.45
41,41,10.299999999999999
42,42,10.45
43,43,10.4
44,44,10.2
45,45,10.95
46,46,10.299999999999999
47,47,9.6
48,48,9.85
49,49,10.4
50,50,10.4
51,51,9.65
52,52,9.9
53,53,10.2
54,54,10.15
55,55,9.950000000000001
56,56,9.65
57,57,10.100000000000001
58,58,9.3
59,59,9.950000000000001
60,60,9.9
61,61,10.0
62,62,9.35
63,63,10.299999999999999
64,64,10.100000000000001
65,65,9.8
66,66,9.85
67,67,9.9
68,68,10.2
69,69,9.15
70,70,9.65
71,71,10.4
72,72,10.299999999999999
73,73,9.700000000000001
74,74,9.700000000000001
75,75,9.45
76,76,10.299999999999999
77,77,9.9
78,78,10.299999999999999
79,79,9.65
80,80,9.65
81,81,10.75
82,82,10.0
83,83,10.0
84,84,10.0
85,85,9.9
86,86,9.65
87,87,10.0
88,88,9.950000000000001
89,89,10.549999999999999
90,90,10.6
91,91,9.65
92,92,10.75
93,93,9.85
94,94,10.25
95,95,10.45
96,96,10.299999999999999
97,97,10.65
98,98,9.950000000000001
99,99,10.25
100,100,9.75
101,101,10.100000000000001
102,102,10.0
103,103,9.35
104,104,9.950000000000001
105,105,9.85
106,106,9.8
107,107,9.2
108,108,9.9
109,109,10.299999999999999
110,110,9.65
111,111,9.75
112,112,10.25
113,113,10.2
114,114,9.85
115,115,9.5
116,116,10.5
117,117,9.65
118,118,10.15
119,119,9.85
120,120,10.5
121,121,10.25
122,122,10.45
123,123,10.15
124,124,9.85
125,125,10.5
126,126,10.549999999999999
127,127,10.6
128,128,10.100000000000001
129,129,9.9
130,130,10.4
131,131,10.0
132,132,9.4
133,133,10.5
134,134,9.65
135,135,10.299999999999999
136,136,9.15
137,137,9.35
138,138,9.6
139,139,9.75
140,140,10.45
141,141,10.0
142,142,9.9
143,143,9.85
144,144,9.8
145,145,9.35
146,146,9.8
147,147,9.85
148,148,10.6
149,149,10.5
150,150,10.100000000000001
151,151,10.6
152,152,10.100000000000001
153,153,9.950000000000001
154,154,9.700000000000001
155,155,9.65
156,156,9.8
157,157,9.700000000000001
158,158,9.5
159,159,9.55
160,160,9.65
161,161,9.700000000000001
162,162,9.65
163,163,9.9
164,164,10.100000000000001
165,165,10.2
166,166,9.4
167,167,9.3
168,168,10.25
169,169,10.25
170,170,10.0
171,171,10.0
172,172,10.299999999999999
173,173,10.7
174,174,10.299999999999999
175,175,10.100000000000001
176,176,9.75
177,177,9.85
178,178,9.85
179,179,9.45
180,180,10.100000000000001
181,181,9.8
182,182,9.55
183,183,9.6
184,184,10.5
185,185,10.25
186,186,9.9
187,187,10.15
188,188,9.9
189,189,10.15
190,190,9.75
191,191,9.75
192,192,10.4
193,193,9.35
194,194,10.05
195,195,10.2
196,196,9.5
197,197,9.950000000000001
198,198,10.45
199,199,10.45
200,200,10.35
201,201,9.8
202,202,9.45
203,203,10.15
204,204,9.5
205,205,10.05
206,206,9.55
207,207,9.700000000000001
208,208,9.5
209,209,9.75
210,210,9.3
211,211,10.05
212,212,9.3
213,213,9.45
214,214,10.15
215,215,9.6
216,216,9.45
217,217,9.8
218,218,9.700000000000001
219,219,9.3
220,220,9.55
221,221,8.9
222,222,9.6
223,223,9.65
224,224,9.65
225,225,9.65
226,226,9.9
227,227,9.0
228,228,9.65
229,229,9.0
230,230,9.75
231,231,9.25
232,232,9.6
233,233,9.15
234,234,9.45
235,235,9.6
236,236,9.3
237,237,9.3
238,238,9.1
239,239,8.85
240,240,8.95
241,241,9.0
242,242,8.9
243,243,8.75
244,244,9.9
245,245,9.3
246,246,9.049999999999999
247,247,9.35
248,248,9.75
249,249,10.0
250,250,9.049999999999999
251,251,9.1
252,252,9.15
253,253,9.0
254,254,9.0
255,255,9.85
256,256,9.45
257,257,9.3
258,258,8.9
259,259,8.9
260,260,9.0
261,261,8.799999999999999
262,262,9.4
263,263,9.75
264,264,9.45
265,265,9.65
266,266,9.1
267,267,9.65
268,268,9.45
269,269,9.6
270,270,9.65
271,271,9.25
272,272,9.45
273,273,9.2
274,274,8.799999999999999
